╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
300253.SZ,нюдЧ╫║©╣,2015-01-05,277.5466,280.3627,253.3281,253.3281,8571212,
300253.SZ,нюдЧ╫║©╣,2015-01-06,257.4718,272.7592,251.4373,265.5178,10030254,
300253.SZ,нюдЧ╫║©╣,2015-01-07,261.4948,273.5638,254.7764,271.15,7317580,
300253.SZ,нюдЧ╫║©╣,2015-01-08,271.15,293.6788,269.9431,288.8512,7887563,
300253.SZ,нюдЧ╫║©╣,2015-01-09,281.6098,316.1271,281.6098,301.5236,8086481,
300253.SZ,нюдЧ╫║©╣,2015-01-12,301.7248,329.4835,301.6845,319.426,6460682,
300253.SZ,нюдЧ╫║©╣,2015-01-13,324.5754,337.8915,309.3685,315.8053,6085194,
300253.SZ,нюдЧ╫║©╣,2015-01-14,315.8053,333.9088,308.9662,328.88,6527674,
300253.SZ,нюдЧ╫║©╣,2015-01-15,333.9088,336.926,315.0007,317.857,4753151,
300253.SZ,нюдЧ╫║©╣,2015-01-16,313.6328,349.6387,309.811,349.6387,9646525,
300253.SZ,нюдЧ╫║©╣,2015-01-19,337.9317,377.8801,333.9088,356.7996,8596449,
300253.SZ,нюдЧ╫║©╣,2015-01-20,347.9892,384.1962,347.9892,384.1962,7623438,
300253.SZ,нюдЧ╫║©╣,2015-01-21,385.7652,386.2077,365.3284,366.6962,9896201,
300253.SZ,нюдЧ╫║©╣,2015-01-22,366.8973,381.702,365.1674,374.1387,6463310,
300253.SZ,нюдЧ╫║©╣,2015-01-23,370.1157,370.156,352.4145,361.3054,7269579,
300253.SZ,нюдЧ╫║©╣,2015-01-26,364.0812,397.4319,358.0467,397.4319,6868034,
300253.SZ,нюдЧ╫║©╣,2015-01-27,392.2422,412.8802,388.2594,401.4549,6432182,
300253.SZ,нюдЧ╫║©╣,2015-01-28,402.2997,408.3342,389.1043,393.8514,3184647,
300253.SZ,нюдЧ╫║©╣,2015-01-29,388.6215,398.156,375.6675,376.9548,4061928,
300253.SZ,нюдЧ╫║©╣,2015-01-30,380.6157,382.1847,362.0697,370.1157,3736408,
300253.SZ,нюдЧ╫║©╣,2015-02-02,368.0238,389.7479,362.2709,384.1962,5653188,
300253.SZ,нюдЧ╫║©╣,2015-02-03,382.2652,422.6158,380.8571,414.3687,9980109,
300253.SZ,нюдЧ╫║©╣,2015-02-04,410.225,416.7825,398.0353,404.9549,4734933,
300253.SZ,нюдЧ╫║©╣,2015-02-05,398.2767,433.5584,394.4549,414.8112,5583400,
300253.SZ,нюдЧ╫║©╣,2015-02-06,414.8515,421.9319,398.7192,405.4779,2959779,
300253.SZ,нюдЧ╫║©╣,2015-02-09,401.9376,432.4722,393.4491,398.6388,3706296,
300253.SZ,нюдЧ╫║©╣,2015-02-10,402.5008,414.2078,386.2479,407.4894,3566152,
300253.SZ,нюдЧ╫║©╣,2015-02-11,407.8514,440.5182,406.5238,437.1389,5449324,
300253.SZ,нюдЧ╫║©╣,2015-02-12,438.5067,459.0642,431.2653,434.7653,5287928,
300253.SZ,нюдЧ╫║©╣,2015-02-13,434.4837,446.0699,419.1963,429.4952,4842941,
300253.SZ,нюдЧ╫║©╣,2015-02-16,430.4204,464.6562,426.4377,462.6044,5343730,
300253.SZ,нюдЧ╫║©╣,2015-02-17,466.6677,470.2481,448.7251,453.3918,3720674,
300253.SZ,нюдЧ╫║©╣,2015-02-25,454.9607,458.5814,410.3457,422.4549,5138859,
300253.SZ,нюдЧ╫║©╣,2015-02-26,424.1848,432.0699,398.2767,414.771,4543917,
300253.SZ,нюдЧ╫║©╣,2015-02-27,411.794,426.4377,411.794,422.8572,4577641,
300253.SZ,нюдЧ╫║©╣,2015-03-02,428.7308,444.5412,414.3687,439.1101,4889401,
300253.SZ,нюдЧ╫║©╣,2015-03-03,444.5412,444.5412,410.3457,413.5641,6833618,
300253.SZ,нюдЧ╫║©╣,2015-03-04,413.5641,418.3112,401.3744,415.1733,5728422,
300253.SZ,нюдЧ╫║©╣,2015-03-05,418.3917,418.3917,398.2767,402.0986,4675950,
300253.SZ,нюдЧ╫║©╣,2015-03-06,403.5066,405.9204,382.1847,397.0698,5328277,
300253.SZ,нюдЧ╫║©╣,2015-03-09,392.2422,426.0756,385.8054,424.1446,6587073,
300253.SZ,нюдЧ╫║©╣,2015-03-10,422.4147,452.2251,421.9319,443.6561,6958879,
300253.SZ,нюдЧ╫║©╣,2015-03-11,442.5297,457.0125,430.5814,447.0354,4311622,
300253.SZ,нюдЧ╫║©╣,2015-03-12,447.2768,455.001,424.4664,436.0929,3031384,
300253.SZ,нюдЧ╫║©╣,2015-03-13,432.9549,479.7022,432.9549,479.7022,6311122,
300253.SZ,нюдЧ╫║©╣,2015-03-16,494.8286,522.9896,479.7022,511.0413,7387823,
300253.SZ,нюдЧ╫║©╣,2015-03-17,518.9666,519.6908,500.8229,502.6735,4083354,
300253.SZ,нюдЧ╫║©╣,2015-03-18,502.6735,518.4839,492.8171,510.8804,4046998,
300253.SZ,нюдЧ╫║©╣,2015-03-19,504.8861,514.9034,486.7826,498.8516,4490763,
300253.SZ,нюдЧ╫║©╣,2015-03-20,498.8516,548.7368,498.8516,548.7368,7679238,
300253.SZ,нюдЧ╫║©╣,2015-03-23,548.7368,603.6105,544.9149,603.6105,6420905,
300253.SZ,нюдЧ╫║©╣,2015-03-24,615.6795,643.6795,573.2771,634.0243,6099886,
