����,���,����,���̼�(Ԫ),��߼�(Ԫ),��ͼ�(Ԫ),���̼�(Ԫ),�ɽ���(��),
001234.SZ,̩Ľʿ,2022-01-11,19.84,23.8,19.84,23.8,886426,
001234.SZ,̩Ľʿ,2022-01-12,26.18,26.18,26.18,26.18,132701,
001234.SZ,̩Ľʿ,2022-01-13,28.8,28.8,28.8,28.8,334982,
001234.SZ,̩Ľʿ,2022-01-14,31.68,31.68,31.68,31.68,2227144,
001234.SZ,̩Ľʿ,2022-01-17,33,34.85,32.86,34.85,10270698,
001234.SZ,̩Ľʿ,2022-01-18,37,38.34,36.35,38.34,3411923,
001234.SZ,̩Ľʿ,2022-01-19,42.1,42.17,34.51,42.17,20523583,
001234.SZ,̩Ľʿ,2022-01-20,45,46.39,45,46.39,9184150,
001234.SZ,̩Ľʿ,2022-01-21,51.03,51.03,41.75,41.75,21292169,
001234.SZ,̩Ľʿ,2022-01-24,37.58,37.58,37.58,37.58,497700,
001234.SZ,̩Ľʿ,2022-01-25,33.82,41,33.82,38.48,18083861,
001234.SZ,̩Ľʿ,2022-01-26,34.63,35.82,34.63,34.63,6991809,
001234.SZ,̩Ľʿ,2022-01-27,31.3,33.68,31.17,31.17,10934502,
001234.SZ,̩Ľʿ,2022-01-28,30.71,30.96,28.05,28.1,10191555,
001234.SZ,̩Ľʿ,2022-02-07,28.94,29.51,27.71,28.1,7268574,
001234.SZ,̩Ľʿ,2022-02-08,28,29.5,27.25,29.29,8123291,
001234.SZ,̩Ľʿ,2022-02-09,28.75,30.6,28.51,29.52,8986307,
001234.SZ,̩Ľʿ,2022-02-10,29.9,32.47,28.9,32.47,7429560,
001234.SZ,̩Ľʿ,2022-02-11,32,35.72,31,33.69,18170375,
001234.SZ,̩Ľʿ,2022-02-14,32.99,35.99,31.4,34.86,14784490,
001234.SZ,̩Ľʿ,2022-02-15,33.2,34.8,31.37,31.37,10275023,
001234.SZ,̩Ľʿ,2022-02-16,30.06,30.99,29.6,30.66,9559903,
001234.SZ,̩Ľʿ,2022-02-17,30.28,30.35,29.18,29.19,7537048,
001234.SZ,̩Ľʿ,2022-02-18,29.05,29.6,28.77,29.37,4533273,
001234.SZ,̩Ľʿ,2022-02-21,29.3,30.19,29.18,29.88,5886073,
001234.SZ,̩Ľʿ,2022-02-22,29.51,29.8,28.28,28.34,6521930,
001234.SZ,̩Ľʿ,2022-02-23,28.42,29.6,28.42,29.54,5545410,
001234.SZ,̩Ľʿ,2022-02-24,29.08,29.47,26.59,27.03,7652866,
001234.SZ,̩Ľʿ,2022-02-25,27.06,27.9,27.01,27.04,4416918,
001234.SZ,̩Ľʿ,2022-02-28,27.17,27.2,25.59,26.19,4213608,
001234.SZ,̩Ľʿ,2022-03-01,26.25,26.45,26,26.3,3129055,
001234.SZ,̩Ľʿ,2022-03-02,26.15,26.55,25.95,26.41,3031576,
001234.SZ,̩Ľʿ,2022-03-03,26.56,26.87,26.03,26.18,3605200,
001234.SZ,̩Ľʿ,2022-03-04,26.27,28.8,26.27,28.8,8852942,
001234.SZ,̩Ľʿ,2022-03-07,28.8,31.68,28.76,31.68,12360441,
001234.SZ,̩Ľʿ,2022-03-08,30,31.41,28.51,28.51,11752615,
001234.SZ,̩Ľʿ,2022-03-09,26.53,28.31,25.89,27.31,9839139,
001234.SZ,̩Ľʿ,2022-03-10,27.77,27.8,26.53,27.4,7218980,
001234.SZ,̩Ľʿ,2022-03-11,26.55,26.75,25.66,26.59,6084258,
001234.SZ,̩Ľʿ,2022-03-14,26.02,26.55,25.38,25.41,3771329,
001234.SZ,̩Ľʿ,2022-03-15,25.03,25.21,23.48,23.49,5697839,
001234.SZ,̩Ľʿ,2022-03-16,24,24.36,23.48,24.35,4262366,
001234.SZ,̩Ľʿ,2022-03-17,24.35,25.26,24.35,24.86,4406679,
001234.SZ,̩Ľʿ,2022-03-18,24.87,25.47,24.39,25.2,3846725,
001234.SZ,̩Ľʿ,2022-03-21,25.18,26.65,24.94,26.02,5531919,
001234.SZ,̩Ľʿ,2022-03-22,25.76,26.69,25.28,25.95,5083564,
001234.SZ,̩Ľʿ,2022-03-23,25.98,26.19,25.2,25.63,3494500,
001234.SZ,̩Ľʿ,2022-03-24,25.48,27.26,25.32,25.94,6418279,
001234.SZ,̩Ľʿ,2022-03-25,25.68,28.53,25.68,28.53,6831371,
001234.SZ,̩Ľʿ,2022-03-28,27.72,29.95,26.64,26.99,12953719,
001234.SZ,̩Ľʿ,2022-03-29,27.04,29.6,27.04,28.11,9799549,
001234.SZ,̩Ľʿ,2022-03-30,27.18,27.48,25.72,27.42,7663651,
001234.SZ,̩Ľʿ,2022-03-31,27.3,27.3,25.51,25.7,6491582,
001234.SZ,̩Ľʿ,2022-04-01,25.54,25.99,24.92,24.97,4607095,
001234.SZ,̩Ľʿ,2022-04-06,24.68,25.43,24.55,25.06,2828642,
001234.SZ,̩Ľʿ,2022-04-07,25,26.48,24.34,25.72,5709747,
001234.SZ,̩Ľʿ,2022-04-08,25.5,25.5,23.65,23.97,5199971,
001234.SZ,̩Ľʿ,2022-04-11,23.68,24.2,22.8,23.5,3908414,
001234.SZ,̩Ľʿ,2022-04-12,23.19,23.48,22.54,23.46,2969433,
001234.SZ,̩Ľʿ,2022-04-13,23.58,25.81,23.5,25.81,5169358,
001234.SZ,̩Ľʿ,2022-04-14,26.8,27.77,24.72,25.9,10971153,
001234.SZ,̩Ľʿ,2022-04-15,24.62,25.24,23.35,23.73,7318864,
001234.SZ,̩Ľʿ,2022-04-18,23.57,24.69,23.26,24.42,4506925,
001234.SZ,̩Ľʿ,2022-04-19,24.12,25.78,23.8,25.09,5618360,
001234.SZ,̩Ľʿ,2022-04-20,24.85,25.38,24.5,24.76,4374683,
001234.SZ,̩Ľʿ,2022-04-21,24.65,27.24,24.61,27.24,4770558,
001234.SZ,̩Ľʿ,2022-04-22,29.96,29.96,29.96,29.96,2134879,
001234.SZ,̩Ľʿ,2022-04-25,32.96,32.96,29,32.96,21260038,
001234.SZ,̩Ľʿ,2022-04-26,31.66,32.66,29.66,29.66,12002112,
001234.SZ,̩Ľʿ,2022-04-27,26.69,26.69,26.69,26.69,900200,
001234.SZ,̩Ľʿ,2022-04-28,24.02,27.23,24.02,24.78,16764637,
001234.SZ,̩Ľʿ,2022-04-29,23.81,25.36,23.8,24.97,12404524,
001234.SZ,̩Ľʿ,2022-05-05,24.85,26.98,24.4,26.11,11859800,
001234.SZ,̩Ľʿ,2022-05-06,25.5,28.72,25.16,28.72,5564562,
001234.SZ,̩Ľʿ,2022-05-09,30,31.4,28.78,29.01,16779760,
001234.SZ,̩Ľʿ,2022-05-10,28.18,29.9,28.09,29.28,10144949,
001234.SZ,̩Ľʿ,2022-05-11,30.17,30.49,28.2,28.41,10595995,
001234.SZ,̩Ľʿ,2022-05-12,27.73,31.25,27.7,31.25,15217981,
001234.SZ,̩Ľʿ,2022-05-13,31.25,33.38,30.18,30.2,17790829,
001234.SZ,̩Ľʿ,2022-05-16,29.32,30.55,28.89,29.31,9771458,
001234.SZ,̩Ľʿ,2022-05-17,29.4,30.92,28.69,30.66,11022244,
001234.SZ,̩Ľʿ,2022-05-18,29.65,31.85,27.59,31.4,12064402,
001234.SZ,̩Ľʿ,2022-05-19,30.1,30.97,29.72,29.98,8286659,
001234.SZ,̩Ľʿ,2022-05-20,29.41,30.44,29.4,29.61,6276326,
001234.SZ,̩Ľʿ,2022-05-23,29.1,30.19,28.88,29.9,4696925,
001234.SZ,̩Ľʿ,2022-05-24,29.68,29.9,26.91,26.91,7318056,
001234.SZ,̩Ľʿ,2022-05-25,26.31,26.8,25.84,26.61,4852594,
001234.SZ,̩Ľʿ,2022-05-26,26.88,28.09,26.11,27.88,6147178,
001234.SZ,̩Ľʿ,2022-05-27,27.84,27.88,26.34,26.77,5176573,
001234.SZ,̩Ľʿ,2022-05-30,26.6,26.7,26.05,26.24,3285082,
001234.SZ,̩Ľʿ,2022-05-31,26.6,27.11,26.1,26.95,3754986,
001234.SZ,̩Ľʿ,2022-06-01,26.8,27.41,26.6,27.11,3714347,
001234.SZ,̩Ľʿ,2022-06-02,27.03,27.04,26.08,26.38,3239958,
001234.SZ,̩Ľʿ,2022-06-06,26.1,27.06,26.05,26.96,3194140,
001234.SZ,̩Ľʿ,2022-06-07,26.96,27.2,26.18,26.53,2793109,
001234.SZ,̩Ľʿ,2022-06-08,26.48,26.48,25.02,25.59,4398761,
001234.SZ,̩Ľʿ,2022-06-09,25.56,25.74,25,25.08,2587708,
001234.SZ,̩Ľʿ,2022-06-10,25.08,25.58,25.04,25.29,2083797,
001234.SZ,̩Ľʿ,2022-06-13,25.56,26.57,25.45,25.78,3198022,
001234.SZ,̩Ľʿ,2022-06-14,25.55,28.36,25.55,27.66,9703986,
001234.SZ,̩Ľʿ,2022-06-15,27.01,28.1,26.8,27.22,7407198,
001234.SZ,̩Ľʿ,2022-06-16,27,27.33,26.4,27.3,4972373,
001234.SZ,̩Ľʿ,2022-06-17,27.02,27.09,26.48,26.84,3129177,
001234.SZ,̩Ľʿ,2022-06-20,26.95,27.51,26.8,27.14,3910779,
001234.SZ,̩Ľʿ,2022-06-21,27.14,27.57,26.68,27.55,4403964,
001234.SZ,̩Ľʿ,2022-06-22,27.36,27.44,26.7,26.8,3121358,
001234.SZ,̩Ľʿ,2022-06-23,26.8,26.8,25.7708,26.3516,3138663,
001234.SZ,̩Ľʿ,2022-06-24,26.3516,26.5962,26.1886,26.4637,2385743,
001234.SZ,̩Ľʿ,2022-06-27,26.3414,26.8306,26.2905,26.5758,2397246,
001234.SZ,̩Ľʿ,2022-06-28,26.6777,27.2076,26.2905,27.2076,4121715,
001234.SZ,̩Ľʿ,2022-06-29,27.1566,27.9515,26.7083,26.8306,4726702,
