代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
688608.SH,恒玄科技,2020-12-16,391,403,353.42,362,15814877,
688608.SH,恒玄科技,2020-12-17,369,379.88,326.5,372,8617543,
688608.SH,恒玄科技,2020-12-18,363.88,381,361,372.25,3469547,
688608.SH,恒玄科技,2020-12-21,377,379.7,347,347,3478985,
688608.SH,恒玄科技,2020-12-22,348.01,353.98,330.66,346.95,3444084,
688608.SH,恒玄科技,2020-12-23,346,348,328,330,3239005,
688608.SH,恒玄科技,2020-12-24,325,335.28,304.1,316,2917335,
688608.SH,恒玄科技,2020-12-25,313.2,319.97,306.11,308.5,1489683,
688608.SH,恒玄科技,2020-12-28,306.62,317.28,293.93,314.8,2321454,
688608.SH,恒玄科技,2020-12-29,310,342.68,309.09,338,2377437,
688608.SH,恒玄科技,2020-12-30,331,340,326,330.99,1079478,
688608.SH,恒玄科技,2020-12-31,332,341.98,325,331,1066991,
688608.SH,恒玄科技,2021-01-04,333.55,342,324,334.71,1899192,
688608.SH,恒玄科技,2021-01-05,334,358,324,352,2194056,
688608.SH,恒玄科技,2021-01-06,349.9,358.52,344,344.68,1387199,
688608.SH,恒玄科技,2021-01-07,344,344.95,304.44,320.03,2176964,
688608.SH,恒玄科技,2021-01-08,312,327,307,326,1235413,
688608.SH,恒玄科技,2021-01-11,326,333.5,311.01,326,977666,
688608.SH,恒玄科技,2021-01-12,323.4,325,311.53,311.66,1129590,
688608.SH,恒玄科技,2021-01-13,308,333.5,308,332.92,1109458,
688608.SH,恒玄科技,2021-01-14,331,353.45,324,342,1182312,
688608.SH,恒玄科技,2021-01-15,336.3,350.01,326.56,330,714282,
688608.SH,恒玄科技,2021-01-18,332,360,322,350,1215997,
688608.SH,恒玄科技,2021-01-19,356,403.88,355,382.98,2030031,
688608.SH,恒玄科技,2021-01-20,385.01,417.69,377,416.3,1407307,
688608.SH,恒玄科技,2021-01-21,414,414,394.99,400.09,1041229,
688608.SH,恒玄科技,2021-01-22,400.09,407,371.18,375.9,1372399,
688608.SH,恒玄科技,2021-01-25,377,388.26,361.45,374,926059,
688608.SH,恒玄科技,2021-01-26,382,385.99,340.18,341.5,1466223,
688608.SH,恒玄科技,2021-01-27,340.28,351.7,328,351,906532,
688608.SH,恒玄科技,2021-01-28,346,346,325,328,1084493,
688608.SH,恒玄科技,2021-01-29,328.22,346,326.34,333,680744,
688608.SH,恒玄科技,2021-02-01,328.1,335,325.51,329.2,783184,
688608.SH,恒玄科技,2021-02-02,331.2,344.99,327,335.51,726257,
688608.SH,恒玄科技,2021-02-03,335,335,316.01,319,1106027,
688608.SH,恒玄科技,2021-02-04,320.17,322.22,295.1,318.14,1230541,
688608.SH,恒玄科技,2021-02-05,318.95,324.5,306,308.01,499924,
688608.SH,恒玄科技,2021-02-08,308.01,318.8,306,310.45,380709,
688608.SH,恒玄科技,2021-02-09,309,314.44,300.47,307.01,578201,
688608.SH,恒玄科技,2021-02-10,305.95,335.85,300.77,335,977748,
688608.SH,恒玄科技,2021-02-18,335,338,318.26,320.48,632454,
688608.SH,恒玄科技,2021-02-19,320.5,328.2,316.38,319,556666,
688608.SH,恒玄科技,2021-02-22,323,323,310.1,310.97,719603,
688608.SH,恒玄科技,2021-02-23,307.02,312.88,297,306.15,833700,
688608.SH,恒玄科技,2021-02-24,306.07,315.31,302.01,305.06,592932,
688608.SH,恒玄科技,2021-02-25,304.2,307.5,298.03,299.06,428259,
688608.SH,恒玄科技,2021-02-26,295,295.99,276.5,288.9,915248,
688608.SH,恒玄科技,2021-03-01,289.99,302.86,286.01,298.9,472487,
688608.SH,恒玄科技,2021-03-02,299,307.5,298.28,299.8,423371,
688608.SH,恒玄科技,2021-03-03,299.8,307.1,293,303,369271,
688608.SH,恒玄科技,2021-03-04,300,308.66,295.2,295.26,378596,
688608.SH,恒玄科技,2021-03-05,294.77,304.99,292,303.83,340702,
688608.SH,恒玄科技,2021-03-08,304,307.5,273,273.01,649272,
688608.SH,恒玄科技,2021-03-09,272.98,279.88,256,260.85,692750,
688608.SH,恒玄科技,2021-03-10,267.45,279,258.13,277.89,628823,
688608.SH,恒玄科技,2021-03-11,280.45,284.98,271,274.99,444146,
688608.SH,恒玄科技,2021-03-12,279.39,279.39,265.27,267.79,388488,
688608.SH,恒玄科技,2021-03-15,267.79,277,258.28,262.01,301518,
688608.SH,恒玄科技,2021-03-16,262.01,267.96,256.03,261.4,291932,
688608.SH,恒玄科技,2021-03-17,257.55,262,250.6,256.38,539596,
688608.SH,恒玄科技,2021-03-18,259,259.99,233.02,235.7,1002371,
688608.SH,恒玄科技,2021-03-19,235.7,245.51,232.54,239.66,777376,
688608.SH,恒玄科技,2021-03-22,240.24,244.8,236.51,243.86,668833,
688608.SH,恒玄科技,2021-03-23,243.8,244.8,234.6,235.69,391942,
688608.SH,恒玄科技,2021-03-24,235,235,220.19,226.29,652563,
688608.SH,恒玄科技,2021-03-25,226.29,233.97,222.45,229,440484,
688608.SH,恒玄科技,2021-03-26,229,239.61,228.12,237,565462,
688608.SH,恒玄科技,2021-03-29,237.9,251.99,233.57,243.16,560658,
688608.SH,恒玄科技,2021-03-30,246.11,254.28,242.66,242.97,445365,
688608.SH,恒玄科技,2021-03-31,242.01,242.73,235.23,236.99,316625,
688608.SH,恒玄科技,2021-04-01,237,244.53,235.66,239.25,384632,
688608.SH,恒玄科技,2021-04-02,240.89,272.37,239.02,254.13,1107828,
688608.SH,恒玄科技,2021-04-06,255.91,259.99,250.52,256.72,450512,
688608.SH,恒玄科技,2021-04-07,255.7,256.72,248.2,253.79,360364,
688608.SH,恒玄科技,2021-04-08,252,261,250.31,254.3,333718,
688608.SH,恒玄科技,2021-04-09,254.3,263,252.89,259.91,511755,
688608.SH,恒玄科技,2021-04-12,259,269.88,248.27,250.74,744079,
688608.SH,恒玄科技,2021-04-13,247,255.55,243.8,246.29,495484,
688608.SH,恒玄科技,2021-04-14,246,259.8,245,258.5,512762,
688608.SH,恒玄科技,2021-04-15,255.5,277.97,253.11,276.8,977822,
688608.SH,恒玄科技,2021-04-16,272.88,276.87,267.89,270.72,573527,
688608.SH,恒玄科技,2021-04-19,268.76,271.7,264.2,264.32,829180,
688608.SH,恒玄科技,2021-04-20,265,272.42,263.06,264.18,705456,
688608.SH,恒玄科技,2021-04-21,264.16,267.77,262.3,265.69,456778,
688608.SH,恒玄科技,2021-04-22,269.69,284,263.22,279.6,1046764,
688608.SH,恒玄科技,2021-04-23,279.5,317.5,275.65,307,1371696,
688608.SH,恒玄科技,2021-04-26,304.63,308.63,288.19,292.41,1213203,
688608.SH,恒玄科技,2021-04-27,279.77,297.9,279.7,287.6,832050,
688608.SH,恒玄科技,2021-04-28,290,298,282.78,284,863913,
688608.SH,恒玄科技,2021-04-29,284,291.88,273,274.2,533517,
688608.SH,恒玄科技,2021-04-30,276.91,285,265.03,276.96,1072458,
688608.SH,恒玄科技,2021-05-06,278.63,292,275.02,290,709865,
688608.SH,恒玄科技,2021-05-07,291,292,255,263,1037110,
688608.SH,恒玄科技,2021-05-10,263,267.65,248.33,264.55,585051,
688608.SH,恒玄科技,2021-05-11,260.02,266,256.78,264.01,285752,
688608.SH,恒玄科技,2021-05-12,259.01,264,251,261.04,540513,
688608.SH,恒玄科技,2021-05-13,273.35,273.35,253.91,255.69,394262,
688608.SH,恒玄科技,2021-05-14,255.69,259.51,250.43,257.2,436121,
688608.SH,恒玄科技,2021-05-17,257.98,274.3,257,273.2,572956,
688608.SH,恒玄科技,2021-05-18,271,277.8,265.71,267.68,503590,
688608.SH,恒玄科技,2021-05-19,266,285.99,266,280.5,695048,
688608.SH,恒玄科技,2021-05-20,279.89,283.55,270.19,272.93,774691,
688608.SH,恒玄科技,2021-05-21,274.8,277.78,264.32,265.77,410729,
688608.SH,恒玄科技,2021-05-24,264.11,265.33,254,260.8,557141,
688608.SH,恒玄科技,2021-05-25,261,277.83,257.75,275.5,597928,
688608.SH,恒玄科技,2021-05-26,274,281.71,272.57,273.73,480801,
688608.SH,恒玄科技,2021-05-27,275.51,296,275,284.68,1195556,
