測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
605566.SH,腦應椷杻,2021-10-25,38.65,46.38,38.65,40.2,16470186,
605566.SH,腦應椷杻,2021-10-26,36.18,36.9,36.18,36.18,2611341,
605566.SH,腦應椷杻,2021-10-27,32.56,32.56,32.56,32.56,2446300,
605566.SH,腦應椷杻,2021-10-28,30,31.96,30,30,8606181,
605566.SH,腦應椷杻,2021-10-29,30.09,30.68,29.45,29.59,5762766,
605566.SH,腦應椷杻,2021-11-01,28.96,29.55,28.13,29.17,5595933,
605566.SH,腦應椷杻,2021-11-02,29.02,29.45,28.06,28.09,4852858,
605566.SH,腦應椷杻,2021-11-03,28.02,28.9,27.54,28.57,4525714,
605566.SH,腦應椷杻,2021-11-04,28.43,30.08,28.34,29.74,5361109,
605566.SH,腦應椷杻,2021-11-05,29.5,32.5,29.4,31.13,7031915,
605566.SH,腦應椷杻,2021-11-08,31.37,31.37,29.7,30.05,4739831,
605566.SH,腦應椷杻,2021-11-09,29.8,30.43,29.64,30,2931564,
605566.SH,腦應椷杻,2021-11-10,29.8,29.88,28.88,29.5,3255738,
605566.SH,腦應椷杻,2021-11-11,29.26,30.95,29.13,30.55,4564064,
605566.SH,腦應椷杻,2021-11-12,30.22,31.88,30.1,31.44,5287724,
605566.SH,腦應椷杻,2021-11-15,31.43,32.38,31.18,31.75,4268220,
605566.SH,腦應椷杻,2021-11-16,31.5,31.75,30.7,31.12,3440046,
605566.SH,腦應椷杻,2021-11-17,30.77,31.69,30.74,31.15,2492773,
605566.SH,腦應椷杻,2021-11-18,31,31.3,30.2,30.32,2879406,
605566.SH,腦應椷杻,2021-11-19,30.28,30.66,29.94,30.38,1999486,
605566.SH,腦應椷杻,2021-11-22,30.45,30.9,30.3,30.56,2040089,
605566.SH,腦應椷杻,2021-11-23,30.5,30.72,30.22,30.34,1920542,
605566.SH,腦應椷杻,2021-11-24,30.26,31.82,30.12,31.71,5399915,
605566.SH,腦應椷杻,2021-11-25,31.64,31.65,31.06,31.22,2941075,
605566.SH,腦應椷杻,2021-11-26,31.11,31.73,31.11,31.27,2573585,
605566.SH,腦應椷杻,2021-11-29,30.79,30.79,30.35,30.45,2016575,
605566.SH,腦應椷杻,2021-11-30,30.45,30.8,30.09,30.17,1911358,
605566.SH,腦應椷杻,2021-12-01,30.18,31.1,29.81,31.1,2990877,
605566.SH,腦應椷杻,2021-12-02,31,31,30.17,30.18,2200432,
605566.SH,腦應椷杻,2021-12-03,30.29,30.4,29.84,29.93,1789017,
605566.SH,腦應椷杻,2021-12-06,29.81,29.93,28.91,28.93,2520337,
605566.SH,腦應椷杻,2021-12-07,29.02,29.31,28.54,29.15,1775118,
605566.SH,腦應椷杻,2021-12-08,29.19,29.43,29.03,29.27,1303890,
605566.SH,腦應椷杻,2021-12-09,29.19,29.45,29.05,29.38,1354587,
605566.SH,腦應椷杻,2021-12-10,29.34,29.9,29.2,29.78,1725295,
605566.SH,腦應椷杻,2021-12-13,30.66,31.01,29.89,29.91,2210378,
605566.SH,腦應椷杻,2021-12-14,29.73,30.44,29.7,30.35,2029385,
605566.SH,腦應椷杻,2021-12-15,30.38,31.38,29.8,30.61,3615099,
605566.SH,腦應椷杻,2021-12-16,30.42,30.82,30.26,30.5,1904936,
605566.SH,腦應椷杻,2021-12-17,30.52,30.82,29.91,29.92,1963599,
605566.SH,腦應椷杻,2021-12-20,29.71,30.48,29.51,29.91,1737857,
605566.SH,腦應椷杻,2021-12-21,29.92,32.8,29.92,32.3,8067145,
605566.SH,腦應椷杻,2021-12-22,31.88,32.7,31.5,32.22,6193471,
605566.SH,腦應椷杻,2021-12-23,32.22,33.9,31.71,31.99,6399236,
605566.SH,腦應椷杻,2021-12-24,32,33.5,31.82,32.3,5523420,
605566.SH,腦應椷杻,2021-12-27,32.13,32.39,30.47,31.35,4026772,
605566.SH,腦應椷杻,2021-12-28,31.25,31.65,30.72,31.24,2522749,
605566.SH,腦應椷杻,2021-12-29,31.22,32,30.68,31.25,2546007,
605566.SH,腦應椷杻,2021-12-30,31.09,31.49,30.91,30.94,2271355,
605566.SH,腦應椷杻,2021-12-31,30.78,31.37,30.6,30.69,2223075,
605566.SH,腦應椷杻,2022-01-04,30.61,31.37,30.48,31.23,2393801,
605566.SH,腦應椷杻,2022-01-05,31.09,31.28,29.86,30.07,3334627,
605566.SH,腦應椷杻,2022-01-06,29.94,30.53,29.8,30.35,1358817,
605566.SH,腦應椷杻,2022-01-07,30.3,30.5,29.98,29.98,1622219,
605566.SH,腦應椷杻,2022-01-10,29.9,30.45,29.79,30.41,1193785,
605566.SH,腦應椷杻,2022-01-11,30.41,30.65,30.06,30.2,1236457,
605566.SH,腦應椷杻,2022-01-12,30.22,30.65,30.2,30.58,1393055,
605566.SH,腦應椷杻,2022-01-13,30.58,30.68,30.35,30.35,1300325,
605566.SH,腦應椷杻,2022-01-14,30.3,30.35,29.48,29.61,2144612,
605566.SH,腦應椷杻,2022-01-17,29.61,29.98,29.38,29.85,1142673,
605566.SH,腦應椷杻,2022-01-18,29.84,29.86,29.21,29.23,1489225,
605566.SH,腦應椷杻,2022-01-19,29.39,29.48,29.11,29.33,814584,
605566.SH,腦應椷杻,2022-01-20,29.38,29.45,28.6,28.7,1247421,
605566.SH,腦應椷杻,2022-01-21,28.71,28.75,27.85,28.12,1121573,
605566.SH,腦應椷杻,2022-01-24,28,28.31,27.72,28.25,671458,
605566.SH,腦應椷杻,2022-01-25,28.13,28.24,27.1,27.1,1141410,
605566.SH,腦應椷杻,2022-01-26,28.48,28.48,27.6,27.77,982982,
605566.SH,腦應椷杻,2022-01-27,27.8,27.8,26.68,26.68,1020891,
605566.SH,腦應椷杻,2022-01-28,26.98,27.27,26.66,27,616702,
605566.SH,腦應椷杻,2022-02-07,27.26,27.83,27.19,27.67,693605,
605566.SH,腦應椷杻,2022-02-08,27.66,28.18,27.45,28.17,829557,
605566.SH,腦應椷杻,2022-02-09,28.08,28.26,28,28.12,677132,
605566.SH,腦應椷杻,2022-02-10,28.19,28.19,27.81,28.02,523089,
605566.SH,腦應椷杻,2022-02-11,28,28,27.66,27.8,570826,
605566.SH,腦應椷杻,2022-02-14,27.75,27.86,27.51,27.81,391808,
605566.SH,腦應椷杻,2022-02-15,27.79,27.87,27.65,27.78,491970,
605566.SH,腦應椷杻,2022-02-16,27.86,28.1,27.8,28.08,624989,
605566.SH,腦應椷杻,2022-02-17,28,28.17,27.88,27.9,659578,
605566.SH,腦應椷杻,2022-02-18,27.75,27.92,27.65,27.84,533454,
605566.SH,腦應椷杻,2022-02-21,27.75,27.97,27.74,27.94,481825,
605566.SH,腦應椷杻,2022-02-22,27.89,27.89,27.33,27.41,728047,
605566.SH,腦應椷杻,2022-02-23,27.4,27.8,27.4,27.79,601279,
605566.SH,腦應椷杻,2022-02-24,27.8,27.99,26.9,27.28,1083042,
605566.SH,腦應椷杻,2022-02-25,27.3,27.62,27.23,27.24,676272,
605566.SH,腦應椷杻,2022-02-28,27.29,27.29,26.62,27,745212,
605566.SH,腦應椷杻,2022-03-01,27.01,27.18,26.96,27.17,581269,
605566.SH,腦應椷杻,2022-03-02,27.13,27.23,26.96,27.21,391117,
605566.SH,腦應椷杻,2022-03-03,27.3,27.57,27.21,27.39,665362,
605566.SH,腦應椷杻,2022-03-04,27.29,27.38,27.09,27.12,572935,
605566.SH,腦應椷杻,2022-03-07,27,27.08,26.64,26.85,567191,
605566.SH,腦應椷杻,2022-03-08,26.65,26.85,25.44,25.62,1219410,
605566.SH,腦應椷杻,2022-03-09,25.62,25.8,24,24.76,1030949,
