ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
600738.SH,ภ๖ษะน๚ณฑ,2015-01-05,39.5891,40.7043,39.1988,40.4813,12994482,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-06,40.1467,40.1467,39.1431,39.8679,11708700,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-07,39.8122,41.8753,39.5891,41.7638,22522599,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-08,41.5965,42.0426,40.4813,41.2619,31988014,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-09,40.7043,40.8159,39.4219,39.4776,17887446,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-12,39.0873,39.4219,37.5818,37.9164,9206721,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-13,37.8606,38.5855,37.8048,38.3624,5087868,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-14,38.0279,38.474,37.6376,37.9164,3992066,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-15,37.8606,38.474,37.7491,38.3624,4364641,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-16,38.3624,38.7528,38.0279,38.697,5002605,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-19,38.0279,38.0279,36.2436,36.4666,8757872,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-20,36.7454,37.8606,36.7454,37.8048,5940561,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-21,37.9721,38.5855,37.6933,38.5855,5843348,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-22,38.5855,38.9758,38.2509,38.8643,5796317,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-23,38.7528,38.92,38.1952,38.3067,5685378,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-26,38.3067,42.0426,38.2509,41.2062,20706893,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-27,42.9905,45.3324,42.9347,45.3324,26121158,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-28,46.5591,48.2876,44.8305,44.942,68717380,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-29,43.6596,46.7263,43.2135,45.89,37207049,
600738.SH,ภ๖ษะน๚ณฑ,2015-01-30,45.2766,45.8342,43.9384,44.0499,21706454,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-02,43.0462,46.9494,43.0462,46.113,26363636,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-03,46.2803,47.953,43.9941,45.5554,30874212,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-04,45.0536,45.9457,44.3845,44.6632,17132875,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-05,44.6632,45.0536,43.2135,43.325,20953515,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-06,43.2135,43.2693,41.931,42.4886,14770425,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-09,41.8195,42.7674,41.6522,42.2656,7896604,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-10,42.4886,42.7674,41.6522,42.7117,9561648,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-11,42.5444,43.1577,42.2098,42.7674,9851753,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-12,42.7117,43.2693,42.3214,42.9905,9284279,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-13,43.102,44.8305,43.102,43.7711,16589321,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-16,43.8826,44.6632,43.8269,44.2729,9145243,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-17,44.5517,44.6075,43.7711,44.2172,8180530,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-25,44.2729,44.2729,43.2693,43.2693,9012654,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-26,43.2693,44.0499,42.7674,44.0499,9619770,
600738.SH,ภ๖ษะน๚ณฑ,2015-02-27,44.496,44.496,43.5481,44.1614,8442034,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-02,44.3287,45.9457,43.8269,45.3881,21033459,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-03,44.9978,45.6669,44.3287,44.9978,15510877,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-04,44.9978,46.0015,44.8305,45.8342,15188348,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-05,45.4439,45.89,45.1651,45.5554,10441797,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-06,45.5554,45.6669,44.1614,44.3845,12290697,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-09,43.4923,44.719,43.4923,44.496,6653284,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-10,44.5517,46.4475,44.1614,46.0015,17022090,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-11,45.7227,45.89,44.8863,45.1651,11455753,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-12,45.1093,45.6112,44.4402,44.6632,7738966,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-13,44.4402,46.113,44.4402,46.0015,12163311,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-16,46.2245,47.0051,45.89,46.6148,16974808,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-17,46.5591,47.0051,46.0572,46.8936,19688852,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-18,46.8936,47.953,46.7821,47.8415,17426049,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-19,47.4512,47.8973,47.0609,47.8415,14169342,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-20,47.6743,49.347,47.6185,49.2913,19431272,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-23,49.8489,50.8525,49.347,50.0161,19653087,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-24,50.0161,50.1834,47.507,49.0125,19664612,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-25,48.901,49.5701,48.1203,49.4586,13633204,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-26,49.0125,50.6853,48.5664,49.6816,15186480,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-27,49.2913,50.2949,48.7894,50.0719,11682500,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-30,50.2949,53.8635,50.2392,52.135,20576389,
600738.SH,ภ๖ษะน๚ณฑ,2015-03-31,52.1908,54.8672,51.7447,52.0235,21295003,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-01,52.0235,53.4732,51.4101,52.6926,12374363,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-02,52.6926,53.529,51.9677,53.4175,16260060,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-03,52.9156,54.2539,52.8041,54.0866,16246541,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-07,54.1423,56.8188,54.0866,55.9824,17382284,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-08,55.9824,56.763,53.0272,53.9751,18798843,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-09,53.9193,54.1981,50.8525,52.3023,17252479,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-10,52.3023,53.8078,51.5774,53.4175,13632084,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-13,53.3059,55.6478,53.2502,55.2018,15584362,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-14,55.3133,56.8188,54.3096,55.8151,17211787,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-15,56.0939,59.6625,56.0939,56.8745,25420508,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-16,55.7594,58.2685,53.9751,57.3206,17041935,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-17,57.3764,58.9934,56.317,57.0418,18068248,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-20,56.763,56.8745,54.5327,54.923,19721314,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-21,54.6999,56.6515,54.3096,56.4842,12315771,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-22,56.9861,57.5994,56.54,57.2649,15210106,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-23,57.4321,59.6625,57.2649,58.5473,19416567,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-24,57.3206,58.5473,56.5958,57.4321,14414147,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-27,57.7109,58.9376,56.9861,57.9897,15585675,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-28,57.9897,58.38,55.5363,55.7036,16958812,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-29,55.7036,57.934,55.0902,57.8225,12339747,
600738.SH,ภ๖ษะน๚ณฑ,2015-04-30,58.9376,60.6104,57.2091,57.5437,19730201,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-04,56.8745,57.5994,55.4248,57.1533,12791186,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-05,56.8745,57.0976,54.923,54.9787,11224381,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-06,56.8745,57.4879,53.3059,54.2539,12134957,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-07,56.2612,59.6625,55.8151,59.6625,24421702,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-08,61.3353,65.4057,57.8782,64.2348,60823354,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-11,63.5657,66.744,61.6141,65.0154,35663159,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-12,64.1233,66.2421,63.0081,65.6288,26918142,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-13,64.8481,71.372,64.1233,69.1974,31222981,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-14,68.1937,70.2568,67.19,68.0822,16052390,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-15,67.4131,67.9707,63.7887,64.9039,20756389,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-18,64.6809,66.2421,63.0638,66.0191,16012539,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-19,65.9633,67.1343,64.9597,66.5767,13937867,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-20,66.5209,69.4204,65.2942,66.0748,17413889,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-21,65.796,68.0822,65.6845,67.8034,16435966,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-22,68.6398,69.3646,66.6324,68.9186,28145476,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-25,68.9743,75.8327,67.9149,74.2715,26308069,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-26,74.9406,76.5018,73.7139,75.2751,21021990,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-27,75.8885,81.7432,73.1563,80.8511,28020825,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-28,79.2341,81.9105,72.766,72.766,23280604,
600738.SH,ภ๖ษะน๚ณฑ,2015-05-29,71.9296,75.6655,66.3536,74.1042,19703810,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-01,74.1042,77.617,73.6024,77.4498,22762571,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-02,78.0073,82.5239,76.2788,82.0778,26317069,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-03,82.5239,86.427,77.394,84.1966,25661904,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-04,83.639,89.0477,78.1189,87.598,30794684,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-05,88.2113,90.7762,85.3118,89.215,28801875,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-08,89.1592,90.0514,85.9809,86.5943,21466438,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-09,86.5943,86.5943,86.5943,86.5943,0,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-10,86.5943,86.5943,86.5943,86.5943,0,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-11,86.5943,86.5943,86.5943,86.5943,0,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-12,86.5943,86.5943,86.5943,86.5943,0,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-15,86.5943,86.5943,86.5943,86.5943,0,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-16,85.5906,85.5906,77.9516,81.8547,22744219,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-17,80.8511,83.2487,75.7212,81.9663,19750301,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-18,81.4087,81.6875,74.3272,76.5018,16885627,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-19,73.7139,75.2751,68.8628,68.8628,16574598,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-23,69.1416,71.0932,62.6178,70.2568,18731630,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-24,70.7586,72.9332,69.755,72.4314,17446839,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-25,72.9332,76.1115,69.6992,71.372,20668009,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-26,68.4725,69.5319,64.2348,64.2348,16427046,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-29,66.3536,66.744,57.8225,58.5473,21805321,
600738.SH,ภ๖ษะน๚ณฑ,2015-06-30,58.5473,63.4542,53.2502,63.1196,19776434,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-01,62.5062,64.6809,56.9303,57.9897,16981568,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-02,58.9934,61.0565,52.1908,52.358,18836281,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-03,50.741,52.3023,47.1167,47.1167,17009061,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-06,51.8562,51.8562,42.4329,42.8232,23805005,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-07,41.2619,41.2619,38.5297,38.5297,11885092,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-08,34.6823,35.4072,34.6823,34.6823,16398578,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-09,32.898,38.1394,32.898,38.1394,21838907,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-10,40.7601,41.931,39.5891,41.931,10109514,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-13,45.2208,46.113,42.3214,46.113,22146612,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-14,46.8379,50.5737,45.7227,47.953,36170267,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-15,46.1688,47.0609,43.1577,43.1577,26181342,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-16,40.9831,46.3918,40.3698,44.6075,20525298,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-17,44.7748,49.0125,44.7748,48.1761,20239443,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-20,48.2318,52.9714,47.507,52.7484,36563100,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-21,52.4138,55.7594,50.3507,54.2539,39139052,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-22,52.6926,54.1981,51.1871,53.0829,27624322,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-23,52.9156,55.2018,52.6926,54.6999,22034825,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-24,54.3654,57.8225,52.9714,55.146,40227520,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-27,52.9156,55.369,49.6258,49.6258,30343177,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-28,46.8379,50.4622,44.6632,49.4586,23814075,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-29,51.4659,52.4138,47.3955,52.135,22484216,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-30,51.3544,54.0866,50.2392,51.2429,26987523,
600738.SH,ภ๖ษะน๚ณฑ,2015-07-31,49.6258,51.0756,47.73,49.6258,14025715,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-03,47.8415,48.9567,45.1651,46.7821,11844771,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-04,47.2839,50.1277,47.1167,50.1277,14505510,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-05,49.6258,51.2429,49.0682,49.7373,17331148,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-06,48.3434,50.2949,47.4512,48.6779,11855999,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-07,48.9567,51.7447,48.9567,51.5216,20504080,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-10,51.8562,54.4769,51.3544,53.752,20061546,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-11,53.8078,56.2612,53.2502,54.5327,31543250,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-12,53.2502,55.4806,52.8599,53.8078,24614051,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-13,53.4175,59.2164,53.0272,59.2164,44191997,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-14,59.1049,60.2201,57.3206,58.3243,45265332,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-17,57.8782,64.179,56.5958,64.179,53443344,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-18,63.9002,64.2905,57.7667,57.7667,48378004,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-19,52.6926,59.4395,51.9677,57.9897,39923161,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-20,55.7594,57.2091,53.2502,53.4732,23231320,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-21,51.8004,52.4138,48.1203,48.2318,20669468,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-24,43.7153,45.3324,43.4365,43.4365,13970000,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-25,39.0873,40.7043,39.0873,39.0873,15704344,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-26,39.1431,41.3734,36.2436,37.3588,21207898,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-27,38.474,40.1467,37.4145,40.091,17084637,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-28,40.6486,43.4365,40.2025,43.4365,18939827,
600738.SH,ภ๖ษะน๚ณฑ,2015-08-31,42.3771,42.7674,40.5371,40.9831,14079945,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-01,40.2583,40.5928,37.1357,37.4145,14134901,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-02,35.4072,38.92,35.1842,35.909,11748527,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-07,36.8012,38.474,36.2993,37.08,10878398,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-08,36.8569,39.8679,36.8012,39.5334,10871405,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-09,40.0352,41.6522,39.5334,40.9831,15302486,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-10,40.2025,43.2693,40.1467,42.3771,22193589,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-11,43.4365,43.4365,40.8716,41.931,19323102,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-14,41.8195,42.2656,37.7491,37.7491,15320036,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-15,36.8569,37.5818,34.5708,35.0169,12609269,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-16,35.6302,38.5297,35.3514,38.5297,13711626,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-17,38.3624,39.9795,37.1915,37.303,14754780,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-18,37.7491,39.8122,37.3588,39.4219,16476231,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-21,38.474,40.5928,38.3624,40.4255,13594282,
600738.SH,ภ๖ษะน๚ณฑ,2015-09-22,40.4813,43.2135,40.314,41.8753,23699859,
