Alpha,平均IC,IC标准差,ICIR,IC胜率,显著IC胜率(p<0.05),自相关性,综合得分,排名
alpha029,-0.0053841641932996,0.3838703956020878,-0.0140259948539525,0.4902127659574468,0.0987234042553191,0.0155165105303999,27.400000000000002,18
alpha085,-0.0093456633280787,0.3822599029205244,-0.0244484531510535,0.488078541374474,0.0757363253856942,-0.0064462023461253,27.900000000000002,19
alpha020,-0.0053797839653288,0.3852376584146759,-0.0139648444221877,0.4850367024280068,0.0962732919254658,-0.0042283425811453,28.4,20
alpha006,-0.0125148578540364,0.3688513668513811,-0.0339292706459699,0.482233502538071,0.0756806645131518,0.0381785027253297,28.499999999999996,21
alpha043,-0.0126696529744897,0.3761225790448723,-0.0336849040189587,0.4909175593851886,0.0735910572892408,0.0487471148162799,28.5,22
alpha003,-0.0157905776733649,0.3661930233096627,-0.0431209134752193,0.4817720350715274,0.0687586525149976,0.0420424211253123,28.7,23
alpha042,0.0048901308332312,0.37428290160801,0.0130653332338241,0.4956251764041772,0.0858029918148461,-0.019850386113783,28.900000000000002,24
alpha035,0.0042129106345164,0.3930645241343511,0.0107181146499919,0.5034188034188034,0.0974358974358974,-0.0112587071503969,29.200000000000003,25
alpha044,-0.0158150494329543,0.3543857756019387,-0.0446266484767676,0.4734656206737425,0.0609137055837563,0.0222520179203877,30.1,26
alpha016,-0.0089356152789218,0.359624313204948,-0.0248470833334048,0.4912577552171461,0.0651438240270727,0.0069753627154128,30.3,27
alpha037,0.005037351454143,0.3661340580001146,0.0137582159978722,0.4920539730134932,0.0827586206896551,-0.0075700087651362,30.4,28
alpha052,-0.0046081612817256,0.4109677320945757,-0.0112129515819631,0.496120020693223,0.1215726849456802,0.083781743027408,30.6,29
alpha036,-0.0077411352692251,0.3816970480667375,-0.0202808360935284,0.491317671092952,0.0806945863125638,0.0788541376521705,30.8,30
alpha012,0.0055138736199346,0.367498245058259,0.0150038093897849,0.4955916473317865,0.0784222737819025,0.0034030360017133,31.099999999999998,31
alpha064,-0.0181464537901316,0.3746196039049776,-0.0484396801474769,0.448547215496368,0.049636803874092,0.0201148620053152,31.5,32
alpha065,-0.0179569888207146,0.3773238018294194,-0.0475903951292016,0.4435437174290677,0.060799073537927,0.035825214150316,31.699999999999996,33
alpha041,-0.0126302247206723,0.3581614062780101,-0.0352640583247782,0.4803876326718966,0.063682510383018,0.0333779300244259,31.799999999999997,34
alpha049,-0.0072701613633463,0.3740967860151138,-0.0194339049014247,0.4762924441725298,0.0712756194554909,-0.0385251422914021,33.15,35
alpha051,-0.0072382919799269,0.3741372248363234,-0.0193466233762052,0.4759865402263689,0.0712756194554909,-0.0387052553505079,33.65,36
alpha002,-0.0054250962573398,0.3675916751458118,-0.0147584850913391,0.4974406700791066,0.0795718939041414,0.0596269435037857,33.699999999999996,37
alpha034,0.0023544273297979,0.37989798135839,0.0061975252444861,0.4967486570540005,0.0921685043822448,-0.0157829135420428,33.8,38
alpha074,-0.0134467869950857,0.3675579474622477,-0.0365841279937686,0.445826853291861,0.0632452047693105,0.058586012758465,34.3,39
alpha019,-0.0009647318084337,0.3928285591129942,-0.0024558596518851,0.4995455922447743,0.1111784307785519,-0.0331379570159507,34.4,40
alpha024,-0.0020518075776616,0.3793752888013136,-0.0054083848849107,0.4926428975664969,0.0928126768534238,-0.036594769312166,34.400000000000006,41
alpha018,0.0012727107209495,0.4020851601998201,0.0031652765307653,0.492495043896913,0.1158312092891532,-0.020459704491794,34.800000000000004,42
alpha010,-0.0024835780560971,0.3753968525209278,-0.0066158734134796,0.4902459711620017,0.0839694656488549,-0.0460625265068221,35.1,43
