,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha062,alpha064,alpha065,alpha068,alpha074,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha099,alpha101
平均IC,-0.007999340412254599,-0.005425096257339844,-0.015790577673364937,-0.029334977327356775,0.009026622743894923,-0.01251485785403644,-0.00437118429103224,0.004847367017669658,-0.0018511169841123048,-0.002483578056097138,-0.0013665640151208905,0.0055138736199346105,0.0015304909164342811,-0.0196445302121352,-0.004677871175156696,-0.008935615278921836,-0.009105325756574597,0.0012727107209495221,-0.0009647318084337677,-0.005379783965328856,0.004618601510692837,-0.00578645599654003,-0.0020518075776616795,-0.0024308475099767343,-0.005009264411226224,,-0.01290166696601921,-0.0053841641932996145,-0.002119844220215965,0.003098454099851398,-0.015464022460687154,0.002354427329797946,0.004212910634516483,-0.0077411352692251575,0.005037351454143056,-0.011355720435076547,-0.0031841255191509,-0.012630224720672344,0.004890130833231272,-0.012669652974489758,-0.015815049432954368,0.0024221420489476315,-0.011347119231066556,-0.029193516133458913,-0.007270161363346375,-0.006142360511521861,-0.007238291979926983,-0.00460816128172569,-0.008977091700984595,-0.00970123537781385,0.006901022575645432,-0.0017344869159957093,-0.021284264884567007,-0.018146453790131634,-0.017956988820714646,,-0.013446786995085771,-0.016116725142142296,-0.004676639319709883,0.01900291410027154,-0.0014641283971041413,-0.009345663328078721,,-0.01061036171088252,0.0036975210481896012,0.007089523516280506
IC标准差,0.37741369141363046,0.36759167514581187,0.3661930233096627,0.40247910614810845,0.38905687993727006,0.3688513668513811,0.3689654022358362,0.37203199025902506,0.37912142959034284,0.3753968525209278,0.36610081359227725,0.367498245058259,0.35938637309829774,0.37162553676675125,0.3579407453334404,0.35962431320494803,0.3806400187310209,0.40208516019982016,0.3928285591129942,0.38523765841467594,0.37333729370549873,0.3607824234345595,0.3793752888013136,0.37141922249868653,0.3648503907046638,,0.40012443012569765,0.38387039560208785,0.3821192506119916,0.37124233067743456,0.39799527154670467,0.37989798135839,0.3930645241343511,0.3816970480667375,0.3661340580001146,0.38137673874886124,0.38602287349249914,0.3581614062780101,0.37428290160801003,0.3761225790448723,0.3543857756019387,0.3850305046920691,0.37866188892476715,0.39905469874069316,0.37409678601511387,0.37482130149192133,0.37413722483632345,0.4109677320945757,0.3751358717417619,0.3912433602359113,0.36232192183335266,0.37195595110167523,0.3753574920796383,0.3746196039049776,0.3773238018294194,,0.36755794746224774,0.3836540069332085,0.3693409242751678,0.35248039934956726,0.37368863487121207,0.3822599029205244,,0.44432484057947075,0.3636341066179093,0.38794937167469745
ICIR,-0.021195151618089124,-0.014758485091339138,-0.04312091347521932,-0.07288571475946824,0.023201293202552643,-0.0339292706459699,-0.011847138687107189,0.01302943602859181,-0.00488264930345013,-0.006615873413479625,-0.003732753286483594,0.015003809389784985,0.004258622560560103,-0.05286108802707221,-0.01306884236048348,-0.02484708333340487,-0.02392109423210404,0.0031652765307653634,-0.002455859651885111,-0.013964844422187747,0.01237112281189928,-0.016038630544843065,-0.0054083848849107614,-0.00654475418268189,-0.013729639706706752,,-0.03224413705997956,-0.014025994853952551,-0.0055475986012766465,0.008346176725583555,-0.038854789406392365,0.006197525244486138,0.0107181146499919,-0.02028083609352846,0.013758215997872232,-0.029775597935862454,-0.008248541052354948,-0.03526405832477824,0.01306533323382416,-0.033684904018958774,-0.044626648476767616,0.0062907796120849095,-0.02996636197872295,-0.07315667808344475,-0.01943390490142477,-0.016387437125566486,-0.019346623376205272,-0.011212951581963173,-0.023930240686671243,-0.024795910586097144,0.01904666033102879,-0.004663151405047912,-0.05670398309260655,-0.04843968014747698,-0.04759039512920164,,-0.03658412799376867,-0.0420084890314937,-0.012662120583815065,0.05391197392915366,-0.003918043687918788,-0.024448453151053554,,-0.023879740095208067,0.010168245994798264,0.018274352361176652
IC胜率,0.491928632115548,0.4974406700791066,0.48177203507152744,0.46433700335088557,0.5038103302286198,0.48223350253807107,0.48769819573537454,0.5019796380090498,0.4899632456884365,0.4902459711620017,0.4940577249575552,0.49559164733178657,0.4930614556782781,0.4831564374711583,0.48900789177001125,0.4912577552171461,0.4898242368177613,0.49249504389691307,0.4995455922447743,0.4850367024280068,0.4667609618104668,0.4850606909430439,0.4926428975664969,0.49221183800623053,0.4850161364684186,,0.48715777589613324,0.4902127659574468,0.4893122676579926,0.48532836516068933,0.4809483488569009,0.49674865705400056,0.5034188034188034,0.491317671092952,0.49205397301349324,0.4826320248517368,0.4886940470696816,0.48038763267189666,0.49562517640417725,0.49091755938518866,0.4734656206737425,0.48120300751879697,0.46968174204355106,0.47072490706319703,0.4762924441725298,0.4925994449583719,0.47598654022636894,0.496120020693223,0.4897959183673469,0.48148148148148145,0.49070631970260226,0.49801474758933634,0.440809968847352,0.44854721549636806,0.44354371742906773,,0.44582685329186106,0.47533206831119545,0.46834763948497854,0.5083449235048678,0.4780821917808219,0.48807854137447404,,0.4698979591836735,0.45778710015731516,0.5018346034434096
显著IC胜率(p<0.05),0.08666100254885302,0.07957189390414146,0.06875865251499769,0.09956917185256103,0.09935083262771663,0.07568066451315182,0.056861673045379986,0.07918552036199095,0.08679672038450664,0.08396946564885496,0.08177702320316921,0.07842227378190256,0.07533276692155197,0.07614213197969544,0.07046223224351747,0.06514382402707276,0.08094357076780759,0.11583120928915322,0.11117843077855195,0.09627329192546584,0.056577086280056574,0.07609710550887021,0.09281267685342388,0.08467856131407533,0.07883817427385892,,0.11995484053062376,0.09872340425531916,0.07760223048327138,0.0712622263623661,0.11402766017499294,0.09216850438224485,0.09743589743589744,0.08069458631256383,0.08275862068965517,0.08924032759107597,0.08860175357637287,0.063682510383018,0.08580299181484617,0.0735910572892408,0.06091370558375635,0.0756578947368421,0.07705192629815745,0.1050185873605948,0.07127561945549098,0.07585568917668825,0.07127561945549098,0.12157268494568028,0.08070500927643785,0.08564814814814815,0.06784386617100371,0.08167895632444697,0.06697819314641744,0.04963680387409201,0.06079907353792704,,0.06324520476931052,0.08349146110056926,0.06223175965665236,0.05910987482614743,0.043835616438356165,0.07573632538569425,,0.09897959183673469,0.0529627687467226,0.1013265594129269
自相关性,0.0067633159883623405,0.05962694350378577,0.042042421125312375,0.04248345692083448,0.016704288560715028,0.03817850272532977,-0.024823210155930257,0.029319376129400537,-0.051211221956747266,-0.046062526506822105,0.018654815223061165,0.0034030360017133,0.008295531372338625,0.021783563280867,0.008080889452198241,0.006975362715412817,-0.04030518761855237,-0.02045970449179402,-0.0331379570159507,-0.004228342581145357,0.020030661447555467,0.027120443913325572,-0.036594769312166056,-0.014694926644998892,0.0421203083112656,,-0.02292418175643845,0.015516510530399989,0.05064530731555623,0.03442140347082435,-0.000649844569253241,-0.01578291354204289,-0.011258707150396965,0.07885413765217059,-0.007570008765136206,0.02296588428083164,0.033316013618881486,0.03337793002442596,-0.019850386113783012,0.04874711481627993,0.02225201792038774,0.007467890110928641,-0.014655616152681942,0.006178324073878392,-0.038525142291402116,0.05741765757869219,-0.0387052553505079,0.083781743027408,0.013359030290821307,-0.024877431850759565,0.04110928994572089,-0.0004937535227529392,-0.04443735122577272,0.020114862005315287,0.035825214150316045,,0.05858601275846505,0.05695023361252409,-0.0041299262559974514,0.0530329501968519,-0.010626136415959393,-0.006446202346125358,,-0.015178942420145445,0.027023660386863317,0.002047973857997264
